Name,Grade,Stars,Type,Logs,Unnamed: 7,Crag
The Sound of One Hold Snapping,6b+,1,G,148,R,Battleship Back Cliff
Electrically-Injected Shed Head,6b+,1,G,150,R,Battleship Back Cliff
Splat the Cat,6c+,-,G,14,R,Battleship Back Cliff
Shallow End of the Gene Pool,6b+,1,G,19,R,Battleship Back Cliff
Project 'A',7a,1,G,23,R,Battleship Back Cliff
Searing Tunnel of Re-injury,6b,1,G,142,R,Battleship Back Cliff
The Cones of Stress,7a+,-,G,4,R,Battleship Back Cliff
Psychic EMF,7a+,2,G,71,R,Battleship Back Cliff
God Told Me to Skin You Alive,6c+,1,G,24,R,Battleship Back Cliff
Roadkill on the Information Superhighway,6b,-,G,26,R,Battleship Back Cliff
Error 404,6a+,-,G,33,R,Battleship Back Cliff
Superfast,6c,-,G,7,,Battleship Back Cliff
Megahurts,6c+,-,G,5,,Battleship Back Cliff
Terrorbyte,6b+,-,G,6,,Battleship Back Cliff
The Attic and The Balcony  Rockfax DescriptionTwo small sections of cliff that provide a number of intense climbs on good rock and with a great outlook. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Attic and The Balcony  Rockfax DescriptionTwo small sections of cliff that provide a number of intense climbs on good rock and with a great outlook. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Attic and The Balcony  Rockfax DescriptionTwo small sections of cliff that provide a number of intense climbs on good rock and with a great outlook. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Attic and The Balcony  Rockfax DescriptionTwo small sections of cliff that provide a number of intense climbs on good rock and with a great outlook. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Attic and The Balcony  Rockfax DescriptionTwo small sections of cliff that provide a number of intense climbs on good rock and with a great outlook. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Attic and The Balcony  Rockfax DescriptionTwo small sections of cliff that provide a number of intense climbs on good rock and with a great outlook. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,Battleship Back Cliff
Unload the Funbags,6b+,-,G,42,R,Battleship Back Cliff
It's all a Bunch of Tree Hugging Hippie Crap,5c,-,G,52,R,Battleship Back Cliff
Jurassic Bark,6c+,1,G,21,R,Battleship Back Cliff
High Flyer,6b,-,G,45,R,Battleship Back Cliff
Lola,5a,-,G,35,R,Battleship Back Cliff
Pretty Flamingo,6a+,-,G,29,R,Battleship Back Cliff
A Groovy Kind of Love,6c,-,G,21,R,Battleship Back Cliff
Itchycoo Park,6c+,-,G,23,R,Battleship Back Cliff
Spear of Destiny,5c,-,G,55,R,Battleship Back Cliff
Spear of Broccoli,5c,-,G,67,R,Battleship Back Cliff
Heart of the Sun,6a,-,G,36,R,Battleship Back Cliff
The Block  Rockfax DescriptionThe Block is the huge detached lump of rock that stands in front of the Battleship Back Cliff itself. The short and slabby landward facing side of the The Block has some very popular routes which are useful for shade on summer afternoons or sun on cool summer mornings. The seaward face of the block has a small number of lines. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Block  Rockfax DescriptionThe Block is the huge detached lump of rock that stands in front of the Battleship Back Cliff itself. The short and slabby landward facing side of the The Block has some very popular routes which are useful for shade on summer afternoons or sun on cool summer mornings. The seaward face of the block has a small number of lines. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Block  Rockfax DescriptionThe Block is the huge detached lump of rock that stands in front of the Battleship Back Cliff itself. The short and slabby landward facing side of the The Block has some very popular routes which are useful for shade on summer afternoons or sun on cool summer mornings. The seaward face of the block has a small number of lines. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Block  Rockfax DescriptionThe Block is the huge detached lump of rock that stands in front of the Battleship Back Cliff itself. The short and slabby landward facing side of the The Block has some very popular routes which are useful for shade on summer afternoons or sun on cool summer mornings. The seaward face of the block has a small number of lines. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Block  Rockfax DescriptionThe Block is the huge detached lump of rock that stands in front of the Battleship Back Cliff itself. The short and slabby landward facing side of the The Block has some very popular routes which are useful for shade on summer afternoons or sun on cool summer mornings. The seaward face of the block has a small number of lines. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,The Block  Rockfax DescriptionThe Block is the huge detached lump of rock that stands in front of the Battleship Back Cliff itself. The short and slabby landward facing side of the The Block has some very popular routes which are useful for shade on summer afternoons or sun on cool summer mornings. The seaward face of the block has a small number of lines. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block.,Battleship Back Cliff
U-143,HVS 5a,1,T,17,R,Battleship Back Cliff
Coming Unstuck,6a+,1,G,345,R,Battleship Back Cliff
Block 1,VD,-,T,28,,Battleship Back Cliff
Block 2,D,-,T,29,,Battleship Back Cliff
Block 3,VD,-,T,27,,Battleship Back Cliff
Braer Rabbit,4a,-,G,804,R,Battleship Back Cliff
This is This,4c,1,G,833,R,Battleship Back Cliff
"Wake Up, Time to Die",6a+,1,G,485,R,Battleship Back Cliff
No Smears Here,6a+,1,G,344,R,Battleship Back Cliff
Block 4,S,-,T,19,,Battleship Back Cliff
Block 5,HS,-,T,8,,Battleship Back Cliff
Like a Drowning Man,4a,1,G,604,R,Battleship Back Cliff
Hang Onto Your Ego,6b,1,G,274,R,Battleship Back Cliff
She's Going Down,6b+,1,G,146,R,Battleship Back Cliff
Listing Badly,6c+,1,G,115,R,Battleship Back Cliff
I'm Doing it Anyway,4a,1,G,782,R,Battleship Back Cliff
Hate the Sin and Love the Sinner,4c,-,G,446,R,Battleship Back Cliff
The Block Slab - Seaward Face,The Block Slab - Seaward Face,The Block Slab - Seaward Face,The Block Slab - Seaward Face,The Block Slab - Seaward Face,The Block Slab - Seaward Face,Battleship Back Cliff
Another Stone on the Pile of Choss,6c+,1,G,16,R,Battleship Back Cliff
Welcome to the Gravity Program,6c,-,G,8,R,Battleship Back Cliff
The Trouser Incident,HVS 5a,-,T,1,,Battleship Back Cliff
Diamonds and Rust,6a+,-,G,0,,Battleship Back Cliff
Reach Out,5b,-,G,1,,Battleship Back Cliff
She's Dancing Tonight,5a,-,G,38,R,Battleship Back Cliff
Small is Beautiful,6b,-,G,29,R,Battleship Back Cliff
Tiny Goddess,5a,-,G,55,R,Battleship Back Cliff
The Veranda,The Veranda,The Veranda,The Veranda,The Veranda,The Veranda,Battleship Back Cliff
Lazy Robs and Frightful Lobs,5c,1,G,15,,Battleship Back Cliff
Dr. Sole and Mr. Sole,3a,-,G,575,R,Battleship Back Cliff
Never Lead a Numb Existence,4a,-,G,541,R,Battleship Back Cliff
Phil's Route,4a,-,G,631,R,Battleship Back Cliff
Days of Heaven,4c,-,G,599,R,Battleship Back Cliff
Love on the Rocks ;),5a,-,G,679,R,Battleship Back Cliff
"Absent Friends, Here's to Them",5c,-,G,541,R,Battleship Back Cliff
Limestone Cowboy,4c,-,G,543,R,Battleship Back Cliff
One Flew Out of the Cuckoo's Nest,5c,-,G,463,R,Battleship Back Cliff
When You Were Little You Dreamed You Were Big,6b+,-,G,360,R,Battleship Back Cliff
Hanging Out with Halo Jones,6a,-,G,578,R,Battleship Back Cliff
I Get High with a Little Help from My Friends,5a,-,G,388,R,Battleship Back Cliff
Cat Juggling,4c,-,G,334,R,Battleship Back Cliff
Thin on Top,6b+,-,G,68,,Battleship Back Cliff
Samphire and Steel,5a,-,G,78,,Battleship Back Cliff
"More Soap, Less Shampoo",4c,-,G,81,,Battleship Back Cliff
Brontosaurus Wall,Brontosaurus Wall,Brontosaurus Wall,Brontosaurus Wall,Brontosaurus Wall,Brontosaurus Wall,Battleship Back Cliff
A Compromise That Satisfies Nobody,3b,-,G,13,,Battleship Back Cliff
"Dust, Sweat and Beers",4a,-,G,13,,Battleship Back Cliff
Cosmic Brontosaurus,5a,-,G,13,,Battleship Back Cliff
Cheers Neil,5b,-,G,10,,Battleship Back Cliff
Inverted Goat,5b,-,G,12,,Battleship Back Cliff
Bucking Bronto,4b,-,G,13,,Battleship Back Cliff
Drive a Car Area  Rockfax DescriptionThe first section encountered on the approach has a tall central section tapering off to either side. The central routes are very good and popular. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.,Drive a Car Area  Rockfax DescriptionThe first section encountered on the approach has a tall central section tapering off to either side. The central routes are very good and popular. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.,Drive a Car Area  Rockfax DescriptionThe first section encountered on the approach has a tall central section tapering off to either side. The central routes are very good and popular. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.,Drive a Car Area  Rockfax DescriptionThe first section encountered on the approach has a tall central section tapering off to either side. The central routes are very good and popular. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.,Drive a Car Area  Rockfax DescriptionThe first section encountered on the approach has a tall central section tapering off to either side. The central routes are very good and popular. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.,Drive a Car Area  Rockfax DescriptionThe first section encountered on the approach has a tall central section tapering off to either side. The central routes are very good and popular. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.,Battleship Edge
Another Trojan Horse,6b+,-,G,6,R,Battleship Edge
The Black Pariah,7a,1,G,9,R,Battleship Edge
The Misanthrope,7b+,1,G,4,R,Battleship Edge
Silage Clamp,7a+,1,G,12,R,Battleship Edge
The Sheer Weight of Prague,VS 4c,-,T,3,,Battleship Edge
Kicking Steps,E1 5b,-,T,1,,Battleship Edge
Kicking More Steps,6a,2,G,1,,Battleship Edge
Never Drive a Car When You're Dead,6a,2,G,464,R,Battleship Edge
Wind in the Riggin',6c,2,G,137,R,Battleship Edge
Bawdy House,7a,-,G,19,R,Battleship Edge
The Ghost of Saturday Night,5c,1,G,279,R,Battleship Edge
Sugar 'n' Spikes,E1 5a,-,T,2,,Battleship Edge
Borstal Breakout,6c,1,G,105,R,Battleship Edge
Stripped for Action,E1 5b,-,T,1,,Battleship Edge
The Kane Mutiny,6b,1,G,33,R,Battleship Edge
The Best Men,6c+,1,G,37,R,Battleship Edge
Citizen Dust,6a+,1,G,31,R,Battleship Edge
Eyes in Your Navel Nigel,6b+,1,G,37,R,Battleship Edge
"Victims of Fashion Area  Rockfax DescriptionThe central section of Battleship Edge is one of the most popular areas on Portland, with a good supply of technical face and groove pitches. This is a great place to get a lot of mileage in if the grade range is right for you. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.","Victims of Fashion Area  Rockfax DescriptionThe central section of Battleship Edge is one of the most popular areas on Portland, with a good supply of technical face and groove pitches. This is a great place to get a lot of mileage in if the grade range is right for you. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.","Victims of Fashion Area  Rockfax DescriptionThe central section of Battleship Edge is one of the most popular areas on Portland, with a good supply of technical face and groove pitches. This is a great place to get a lot of mileage in if the grade range is right for you. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.","Victims of Fashion Area  Rockfax DescriptionThe central section of Battleship Edge is one of the most popular areas on Portland, with a good supply of technical face and groove pitches. This is a great place to get a lot of mileage in if the grade range is right for you. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.","Victims of Fashion Area  Rockfax DescriptionThe central section of Battleship Edge is one of the most popular areas on Portland, with a good supply of technical face and groove pitches. This is a great place to get a lot of mileage in if the grade range is right for you. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.","Victims of Fashion Area  Rockfax DescriptionThe central section of Battleship Edge is one of the most popular areas on Portland, with a good supply of technical face and groove pitches. This is a great place to get a lot of mileage in if the grade range is right for you. Approach - Following a huge landslip in 2014 the old Battleship Edge approach is no longer possible. Instead the southern approach above the Veranda Cliff must be used. Drive through Weston to a small roundabout and turn right into Reap Lane. Park near the second traffic calming installation. Follow a wide track behind houses and go right at the crossroads. Follow the track past farm buildings to the cliff top path. At the cliff edge slightly to the left is a grassy gully. Descend this with care to a grassy terrace above the Veranda Cliff. Follow this north (right looking out) towards the distinctive and massive Battleship Block. Continue under the Back Cliff and follow a path up to the edge.",Battleship Edge
Bilboes,7a,1,G,100,R,Battleship Edge
Keyboard Wall,7c,3,G,82,R,Battleship Edge
Choco Loni,7b,2,G,38,R,Battleship Edge
Wurlitzer Jukebox,7a+,1,G,32,R,Battleship Edge
Evening Falls,6a+,2,G,411,R,Battleship Edge
Evening Falls Direct,6c,1,G,48,R,Battleship Edge
Victims of Fashion,7a+,3,G,301,R,Battleship Edge
Barbed Wire Kisses,7a+,2,G,119,R,Battleship Edge
Monoculture,7c+,2,G,13,R,Battleship Edge
Reve d'un Corbeau,7a,1,G,93,R,Battleship Edge
Lazy Days and Summer Haze,6a+,2,G,617,R,Battleship Edge
Norfolk Coast,7a+,1,G,13,R,Battleship Edge
Pinch an Inch,6a,2,G,793,R,Battleship Edge
Inchworm,6a+,1,G,83,,Battleship Edge
"Inch Perfect, Inchworm",6b+,2,G,559,R,Battleship Edge
Serious Music,6c+,1,G,88,R,Battleship Edge
Margaret on the Guillotine,6a,2,G,571,R,Battleship Edge
Gratuitous Lies Here,6c+,-,G,21,R,Battleship Edge
Keel Haul,7b,-,G,6,R,Battleship Edge
"Out of Reach, Out of Mind",6c,2,G,270,R,Battleship Edge
No me Comas el Coco,7a,2,G,111,R,Battleship Edge
"Come, Armageddon, Come",6c+,1,G,57,R,Battleship Edge
Defcon One,6c+,2,G,111,R,Battleship Edge
